NN,VE1sign_B(v),GATS5m,Mor04v,C-005,H-052,pIC50,Pred,Pred_loo,stdVE1sign_B(v),stdGATS5m,stdMor04v,stdC-005,stdH-052,Outlier_info(standardization_approach),snew
MD100,0.0212,1.28,0.0739,0,2,2.567030709,2.4217888068044156,2.406964903017592,0.5547968916102433,0.9963309405564007,0.1818362334096045,0.35497614506101194,0.7022725475720408,In,NA
MD101,0.0114,1.02,-0.209,0,3,2.565431096,2.7073014430024234,2.7349438591680033,0.6705613716696123,0.6680063470351647,0.19133803537701394,0.35497614506101194,1.4279541569943526,In,NA
MD108,0.0,1.2,0.389,0,4,2.442492798,2.4436188629746063,2.443997493053169,0.8052261750039803,0.4842271597589955,0.5974856222207161,0.35497614506101194,2.1536357664166643,In,NA
MD109,0.255,1.43,-0.256,0,3,2.431798276,2.421855973765945,2.414803419529279,2.2070128469489894,1.956525529551534,0.2533358813754978,0.35497614506101194,1.4279541569943526,In,NA
MD114,0.0102,1.02,-0.263,0,4,2.327902142,2.578438624436788,2.67253239214723,0.6847366141258615,0.6680063470351647,0.2625696031199528,0.35497614506101194,2.1536357664166643,In,NA
MD116,0.0394,1.25,-0.274,0,0,2.2915791000000003,2.6012331588138666,2.633532430164157,0.33980571435712936,0.8042920227573738,0.2770797372898107,0.35497614506101194,0.7490906712725827,In,NA
MD121,0.0194,1.14,-0.248,1,0,2.056011125,1.834363611311578,1.7931780070536796,0.5760597552946172,0.10014932416094165,0.242783056524692,1.845876019907768,0.7490906712725827,In,NA
MD123,0.00448,1.27,-0.109,0,0,1.996970529,2.5446938990799723,2.614212512156454,0.752305269833983,0.9323179679567251,0.05942772474194203,0.35497614506101194,0.7490906712725827,In,NA
MD124,0.00817,1.44,-0.0398,0,2,1.990549104,2.0276309513151345,2.0364699292380806,0.7087163992810166,2.0205385021512097,0.03185421021752773,0.35497614506101194,0.7022725475720408,In,NA
MD125,0.0,0.982,-2.34,0,0,1.988006885,2.2584803635659556,2.4247062515759676,0.8052261750039803,0.9112556429139321,3.002346755010396,0.35497614506101194,0.7490906712725827,In,2.5068690118715837
MD139,0.0463,1.14,-0.0782,2,0,1.056653902,1.0087152069236476,0.9400813959786802,0.258298070233696,0.10014932416094165,0.01879934906633989,4.046728184876548,0.7490906712725827,Outlier,3.220203795601539
MD140,0.0193,1.48,-0.129,1,0,1.04628862,1.1976304000367217,1.2672399392717404,0.5772410254993046,2.2765903925499122,0.08580978686895642,1.845876019907768,0.7490906712725827,In,NA
