NN,VE1sign_Dz(v)_cme,J_Dz(p)_cme,HATS5s_cbt,VE3sign_B(v)_cbt,R1s+_cbt,Wap_cme,Eig09_EA(dm)_cme,DLS_01_cbt,Active_2,Pred,%Prob(-1),%Prob(+1),stdVE1sign_Dz(v)_cme,stdJ_Dz(p)_cme,stdHATS5s_cbt,stdVE3sign_B(v)_cbt,stdR1s+_cbt,stdWap_cme,stdEig09_EA(dm)_cme,stdDLS_01_cbt,Outlier_info(standardization_approach),snew,Set
MD062,-0.1302721088435374,-0.38883632923368017,-0.037395833333333336,-0.07995495495495497,-0.032959850606909466,0.17643444213140252,-0.006318681318681318,-0.3333333333333333,1,1,0.0005673042221154834,0.9994326957778845,0.8941607176320427,1.7653813798497542,0.17391076112837298,0.628200017459824,0.306304772154573,1.4446066749627124,0.08880926941943933,1.1014974104471877,In,NA,Sub_train
MD080,-0.1302721088435374,-0.12393566698202454,-0.19809375,0.20036486486486488,-0.17663865546218485,0.047363329025901936,0.3244505494505494,-0.8500000000000001,1,1,0.0006402787840656954,0.9993597212159343,0.8941607176320427,0.7065126145818006,0.8787661704663408,0.7324283690981229,0.8767551841619721,0.44664368543824495,1.908949785285965,2.4707773879192185,In,NA,Sub_train
MD096,-0.06208616780045353,0.1676821192052978,-0.033906249999999936,0.2297297297297297,-0.09313725490196087,-0.06602016957558868,0.0,0.125,-1,1,0.051536152814225855,0.9484638471857741,0.626607767890953,0.4591506290117484,0.15860470278078603,0.8749608119637564,0.5452281478621173,0.4300244744977264,0.1235793955531022,0.113186440536065,In,NA,Sub_train
MD119,-0.2469387755102041,0.1412803532008829,-0.5778125000000001,-0.02979729729729728,-0.3280112044817927,-0.0005353361202301947,0.0,0.0,-1,-1,0.8091834310099526,0.19081656899004742,1.351945861103246,0.35361670874004275,2.5442937673158212,0.384742623487001,1.4777521999836485,0.07629672000692024,0.1235793955531022,0.2180909733684585,In,NA,Sub_train
MD100,0.2846938775510204,0.18070009460737946,-0.11090624999999996,-0.025310810810810783,-0.0533893557422969,-0.0556928104134122,-0.6486263736263735,0.1499999999999999,-1,-1,0.9983481197678815,0.001651880232118479,0.7341129705162597,0.5111864654763462,0.49634316040872783,0.36296592259818805,0.3874163851953961,0.35017452220860096,3.445649639298116,0.17944192331696945,In,2.187651542208499,Sub_train
MD082,-0.1302721088435374,-0.13055818353831594,-0.23028125,0.20036486486486488,-0.20408963585434173,0.2307553131547605,0.3244505494505494,-0.8500000000000001,1,1,0.013124880967332775,0.9868751190326672,0.8941607176320427,0.7329843337134995,1.0199474250754235,0.7324283690981229,0.9857442802954367,1.8646093969949675,1.908949785285965,2.4707773879192185,In,NA,Sub_train
MD051,0.2007936507936508,-0.40208136234626296,0.24721875,-0.1307162162162162,-0.008011204481792645,-0.054818952923036436,-0.3370879120879121,0.1499999999999999,1,1,0.00012487856946308273,0.9998751214305369,0.4048991647157833,1.818324818113152,1.074469633591358,0.8745872085401777,0.20725073648497477,0.34341795668025593,1.7313312464470867,0.17944192331696945,In,NA,Sub_train
MD071,0.27335600907029484,0.1343424787133398,0.020729166666666708,0.11869369369369367,0.02362278244631181,-0.05518502835819385,-0.16016483516483515,0.16666666666666674,1,-1,0.9137924352961202,0.08620756470387979,0.6896246183810604,0.32588443155445457,0.08103791224336895,0.33600932912315634,0.0816537780835541,0.346248409806995,0.7577677147045262,0.22361224517090636,In,NA,Sub_train
MD074,-0.1302721088435374,0.008514664143803247,-0.05996874999999999,-0.1820675675675676,-0.06011204481792709,-0.048926319305502605,-0.006318681318681318,0.1499999999999999,1,1,0.0005601145756305437,0.9994398854243695,0.8941607176320427,0.1770782319478239,0.2729203982603737,1.1238386042555062,0.4141075924117546,0.2978567918337135,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD072,-0.06208616780045353,0.1676821192052978,0.08598958333333333,0.3385135135135135,0.06554621848739496,-0.06602016957558868,0.0,0.16666666666666674,1,1,0.09755473205617493,0.9024452679438251,0.626607767890953,0.4591506290117484,0.36728404820644434,1.4029802160449123,0.08479555580734958,0.4300244744977264,0.1235793955531022,0.22361224517090636,In,NA,Sub_train
